country_code_3,lat,long,country,zero
AFG,33.93911,67.709953,Afghanistan,0
ALB,41.153332,20.168331,Albania,0
DZA,28.033886,1.659626,Algeria,0
ASM,-14.270972,-170.132217,American Samoa,0
AND,42.546245,1.601554,Andorra,0
AGO,-11.202692,17.873887,Angola,0
AIA,18.220554,-63.068615,Anguilla,0
ATA,-75.250973,-0.071389,Antarctica,0
ATG,17.060816,-61.796428,Antigua and Barbuda,0
ARG,-38.416097,-63.616672,Argentina,0
ARM,40.069099,45.038189,Armenia,0
ABW,12.52111,-69.968338,Aruba,0
AUS,-25.274398,133.775136,Australia,0
AUT,47.516231,14.550072,Austria,0
AZE,40.143105,47.576927,Azerbaijan,0
BHS,25.03428,-77.39628,Bahamas,0
BHR,25.930414,50.637772,Bahrain,0
BGD,23.684994,90.356331,Bangladesh,0
BRB,13.193887,-59.543198,Barbados,0
BLR,53.709807,27.953389,Belarus,0
BEL,50.503887,4.469936,Belgium,0
BLZ,17.189877,-88.49765,Belize,0
BEN,9.30769,2.315834,Benin,0
BMU,32.321384,-64.75737,Bermuda,0
BTN,27.514162,90.433601,Bhutan,0
BOL,-16.290154,-63.588653,Bolivia,0
BIH,43.915886,17.679076,Bosnia and Herzegovina,0
BWA,-22.328474,24.684866,Botswana,0
BVT,-54.423199,3.413194,Bouvet Island,0
BRA,-14.235004,-51.92528,Brazil,0
IOT,-6.343194,71.876519,British Indian Ocean Territory,0
VGB,18.420695,-64.639968,British Virgin Islands,0
BRN,4.535277,114.727669,Brunei,0
BGR,42.733883,25.48583,Bulgaria,0
BFA,12.238333,-1.561593,Burkina Faso,0
BDI,-3.373056,29.918886,Burundi,0
KHM,12.565679,104.990963,Cambodia,0
CMR,7.369722,12.354722,Cameroon,0
CAN,56.130366,-106.346771,Canada,0
CPV,16.002082,-24.013197,Cape Verde,0
CYM,19.513469,-80.566956,Cayman Islands,0
CAF,6.611111,20.939444,Central African Republic,0
TCD,15.454166,18.732207,Chad,0
CHL,-35.675147,-71.542969,Chile,0
CHN,35.86166,104.195397,China,0
CXR,-10.447525,105.690449,Christmas Island,0
CCK,-12.164165,96.870956,Cocos (Keeling) Islands,0
COL,4.570868,-74.297333,Colombia,0
COM,-11.875001,43.872219,Comoros,0
COD,-4.038333,21.758664,Congo [DRC],0
COG,-0.228021,15.827659,Congo [Republic],0
COK,-21.236736,-159.777671,Cook Islands,0
CRI,9.748917,-83.753428,Costa Rica,0
CIV,7.539989,-5.54708,Côte d'Ivoire,0
HRV,45.1,15.2,Croatia,0
CUB,21.521757,-77.781167,Cuba,0
CYP,35.126413,33.429859,Cyprus,0
CZE,49.817492,15.472962,Czech Republic,0
