country_code_3,lat,long,country,zero
AFG,33.94,67.71,Afghanistan,0
ALB,41.15,20.17,Albania,0
DZA,28.03,1.66,Algeria,0
ASM,-14.27,-170.13,American Samoa,0
AND,42.55,1.6,Andorra,0
AGO,-11.20,17.87,Angola,0
AIA,18.22,-63.07,Anguilla,0
ATA,-75.25,-0.07,Antarctica,0
ATG,17.06,-61.8,Antigua and Barbuda,0
ARG,-38.42,-63.62,Argentina,0
ARM,40.07,45.04,Armenia,0
ABW,12.52,-69.97,Aruba,0
AUS,-25.27,133.78,Australia,0
AUT,47.52,14.55,Austria,0
AZE,40.14,47.58,Azerbaijan,0
BHS,25.03,-77.4,Bahamas,0
BHR,25.93,50.64,Bahrain,0
BGD,23.68,90.36,Bangladesh,0
BRB,13.19,-59.54,Barbados,0
BLR,53.71,27.95,Belarus,0
BEL,50.50,4.47,Belgium,0
BLZ,17.19,-88.5,Belize,0
BEN,9.31,2.32,Benin,0
BMU,32.32,-64.76,Bermuda,0
BTN,27.51,90.43,Bhutan,0
BOL,-16.29,-63.59,Bolivia,0
BIH,43.92,17.68,Bosnia and Herzegovina,0
BWA,-22.33,24.68,Botswana,0
BVT,-54.42,3.41,Bouvet Island,0
BRA,-14.24,-51.93,Brazil,0
IOT,-6.34,71.88,British Indian Ocean Territory,0
VGB,18.42,-64.64,British Virgin Islands,0
BRN,4.54,114.73,Brunei,0
BGR,42.73,25.49,Bulgaria,0
BFA,12.24,-1.56,Burkina Faso,0
BDI,-3.37,29.92,Burundi,0
KHM,12.57,104.99,Cambodia,0
CMR,7.37,12.35,Cameroon,0
CAN,56.13,-106.35,Canada,0
CPV,16.00,-24.01,Cape Verde,0
CYM,19.51,-80.57,Cayman Islands,0
CAF,6.61,20.94,Central African Republic,0
TCD,15.45,18.73,Chad,0
CHL,-35.68,-71.54,Chile,0
CHN,35.86,104.2,China,0
CXR,-10.45,105.69,Christmas Island,0
CCK,-12.16,96.87,Cocos (Keeling) Islands,0
COL,4.57,-74.3,Colombia,0
COM,-11.88,43.87,Comoros,0
COD,-4.04,21.76,Congo [DRC],0
COG,-0.23,15.83,Congo [Republic],0
COK,-21.24,-159.78,Cook Islands,0
CRI,9.75,-83.75,Costa Rica,0
CIV,7.54,-5.55,Côte d'Ivoire,0
HRV,45.10,15.2,Croatia,0
CUB,21.52,-77.78,Cuba,0
CYP,35.13,33.43,Cyprus,0
CZE,49.82,15.47,Czech Republic,0
DNK,56.26,9.5,Denmark,0
DJI,11.83,42.59,Djibouti,0
DMA,15.41,-61.37,Dominica,0
DOM,18.74,-70.16,Dominican Republic,0
ECU,-1.83,-78.18,Ecuador,0
EGY,26.82,30.8,Egypt,0
SLV,13.79,-88.9,El Salvador,0
GNQ,1.65,10.27,Equatorial Guinea,0
ERI,15.18,39.78,Eritrea,0
EST,58.60,25.01,Estonia,0
ETH,9.15,40.49,Ethiopia,0
FLK,-51.80,-59.52,Falkland Islands [Islas Malvinas],0
